"Story","Title","Result","Date","Stability","Duration (s)"
"Create Book API Tests","Successfully create a new book","SUCCESS","2025-01-07T04:55:06.533535402Z[Etc/UTC]","0.0","0.24"
"Create Book API Tests","Invalid ID format","SUCCESS","2025-01-07T04:55:07.412427149Z[Etc/UTC]","0.0","0.19"
"Create Book API Tests","Book Already Exists by name","SUCCESS","2025-01-07T04:55:07.606934653Z[Etc/UTC]","0.0","0.39"
